id,Sistema,Dominio,Hito,Historia de Usuario,Como,Quiero,Para,Criterios de Aceptación,Prioridad,Estimación (días),Complejidad,Estado,Dependencias
GT-001,GTIME AWS,Migración,Infraestructura,Configurar VPC y Networking en AWS,Como arquitecto AWS,Quiero configurar una VPC con subnets públicas y privadas,Para aislar y proteger los recursos de la aplicación,La VPC debe tener 3 subnets públicas y 3 privadas en diferentes AZs; Security Groups configurados para Lambda y RDS; NACLs configurados; Internet Gateway y NAT Gateway configurados,Alta,3,Media,Pendiente,
GT-002,GTIME AWS,Migración,Infraestructura,Configurar RDS Oracle en AWS,Como arquitecto AWS,Quiero configurar una instancia RDS Oracle Multi-AZ,Para garantizar alta disponibilidad de la base de datos,Instancia RDS Oracle configurada en Multi-AZ; Backup automático habilitado; Parámetros de conexión optimizados; Secrets Manager configurado para credenciales; Subnet group configurado en subnets privadas,Alta,5,Media,Pendiente,GT-001
GT-003,GTIME AWS,Migración,Infraestructura,Configurar Roles IAM para Lambda,Como desarrollador,Quiero configurar roles IAM con permisos mínimos necesarios,Para cumplir con el principio de menor privilegio,Roles creados para Orchestrator Validator Processor y Tracer; Políticas IAM con permisos específicos; Trust policy configurado para Lambda service,Alta,2,Baja,Pendiente,
GT-004,GTIME AWS,Migración,Modelos,Migrar modelos comunes a proyecto Lambda,Como desarrollador,Quiero migrar las clases VO y DTO del módulo gtime-modelo,Para reutilizar los modelos en las funciones Lambda,Clases migradas sin dependencias de JBoss; Dependencias actualizadas para Lambda; Compilación exitosa; Tests unitarios pasando,Alta,3,Baja,Pendiente,
GT-005,GTIME AWS,Migración,Modelos,Adaptar modelos para AWS Lambda,Como desarrollador,Quiero eliminar dependencias de JBoss y Spring de los modelos,Para que sean compatibles con el runtime Lambda,Análisis de dependencias completado; Dependencias problemáticas identificadas y eliminadas; Modelos serializables para JSON; Tests de serialización pasando,Alta,2,Baja,Pendiente,GT-004
GT-006,GTIME AWS,Migración,Orquestador,Crear Lambda Orchestrator Handler,Como desarrollador,Quiero crear la función Lambda que reemplace al módulo gtime-orchestator,Para recibir documentos JSON desde API Gateway y procesarlos,Handler Lambda creado con RequestHandler interface; Recibe payload JSON desde API Gateway; Valida estructura JSON del documento; Parsea JSON a objeto Gtime; Publica evento en EventBridge; Manejo de errores implementado; Logs en CloudWatch,Alta,4,Media,Pendiente,GT-003 GT-005
GT-007,GTIME AWS,Migración,Orquestador,Implementar validación y parsing de JSON a Gtime,Como desarrollador,Quiero implementar la lógica de validación y parsing de JSON a objeto Gtime,Para procesar los documentos JSON recibidos,Validación de estructura JSON implementada; Parsing JSON a objeto Gtime funcionando usando Jackson; Manejo de arrays y valores únicos; Validación de campos requeridos; Validación de tipos de datos; Tests unitarios con casos edge,Alta,3,Media,Pendiente,GT-005
GT-008,GTIME AWS,Migración,Orquestador,Configurar API Gateway como punto de entrada,Como arquitecto AWS,Quiero configurar API Gateway para recibir requests HTTP,Para exponer el servicio de forma RESTful,API Gateway REST API creado; Endpoint POST /documentos configurado; Integración con Lambda Orchestrator; Autenticación configurada (API Key o Cognito); Rate limiting configurado; CORS habilitado si es necesario,Alta,4,Media,Pendiente,GT-006
GT-009,GTIME AWS,Migración,Orquestador,Configurar EventBridge para eventos de documento recibido,Como arquitecto AWS,Quiero configurar EventBridge para desacoplar componentes,Para mejorar la escalabilidad y mantenibilidad,EventBridge custom bus creado; Rule para evento documento.recibido configurada; Target configurado hacia Step Function de validación; Schema de evento definido; Tests de publicación de eventos pasando,Alta,3,Media,Pendiente,GT-006
GT-010,GTIME AWS,Migración,Validación,Crear Lambda para validaciones generales,Como desarrollador,Quiero crear la función Lambda que valide los campos generales del documento,Para reemplazar las validaciones secuenciales del módulo gtime-valida-ingreso,Lambda creada con todas las validaciones generales (login digitador número referencia totales unidades valor moneda parcial tipo operación RUT); Retorna lista de validaciones fallidas; Logs detallados en CloudWatch; Tests unitarios para cada validación,Alta,8,Alta,Pendiente,GT-003 GT-005
GT-011,GTIME AWS,Migración,Validación,Crear Lambda para validar fechas,Como desarrollador,Quiero crear función Lambda específica para validar fechas,Para validar formato y coherencia temporal de las fechas del documento,Validación de formato de fechas implementada; Validación de coherencia temporal (fechas no futuras orden cronológico); Manejo de zonas horarias; Retorna Validacion con tipo ERROR o WARNING; Tests con casos válidos e inválidos,Media,3,Media,Pendiente,GT-003 GT-005
GT-012,GTIME AWS,Migración,Validación,Crear Lambda para validar participaciones,Como desarrollador,Quiero crear función Lambda para validar participantes del documento,Para validar estructura y datos de participantes,Validación de estructura de participantes implementada; Validación de RUTs; Validación de tipos de participante permitidos; Validación de roles requeridos; Tests con diferentes escenarios,Media,4,Media,Pendiente,GT-003 GT-005
GT-013,GTIME AWS,Migración,Validación,Crear Lambda para validar items,Como desarrollador,Quiero crear función Lambda para validar items y productos,Para validar estructura y datos de los items del documento,Validación de estructura de items implementada; Validación de productos asociados; Validación de cantidades y valores; Validación de totales; Tests con diferentes escenarios,Media,4,Media,Pendiente,GT-003 GT-005
GT-014,GTIME AWS,Migración,Validación,Crear Lambda para validar cargos,Como desarrollador,Quiero crear función Lambda para validar cargos asociados,Para validar estructura y datos de cargos,Validación de estructura de cargos implementada; Validación de tipos de cargo permitidos; Validación de montos y monedas; Tests con diferentes escenarios,Media,3,Media,Pendiente,GT-003 GT-005
GT-015,GTIME AWS,Migración,Validación,Crear Lambda para validar observaciones,Como desarrollador,Quiero crear función Lambda para validar observaciones,Para validar estructura y tipos de observaciones permitidas,Validación de estructura de observaciones implementada; Validación de tipos de observación permitidos; Validación de contenido; Tests con diferentes escenarios,Media,2,Baja,Pendiente,GT-003 GT-005
GT-016,GTIME AWS,Migración,Validación,Crear Lambda para validar vistos buenos,Como desarrollador,Quiero crear función Lambda para validar vistos buenos,Para validar estructura y vistos buenos requeridos,Validación de estructura de vistos buenos implementada; Validación de vistos buenos requeridos según tipo documento; Tests con diferentes escenarios,Media,3,Media,Pendiente,GT-003 GT-005
GT-017,GTIME AWS,Migración,Validación,Crear Lambda para validar emisor,Como desarrollador,Quiero crear función Lambda para validar emisor del documento,Para validar datos del emisor,Validación de emisor implementada; Validación de RUT emisor; Validación contra base de datos si es necesario; Tests con diferentes escenarios,Media,3,Media,Pendiente,GT-003 GT-005
GT-018,GTIME AWS,Migración,Validación,Crear Lambda para validar referencias,Como desarrollador,Quiero crear función Lambda para validar referencias cruzadas,Para validar referencias a otros documentos,Validación de referencias implementada; Validación de tipos de referencia permitidos; Validación de existencia de documentos referenciados; Tests con diferentes escenarios,Media,4,Media,Pendiente,GT-003 GT-005
